"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2020","0.1814","0.1840","0.1862","0.1758","731.46M","-1.44%"
"Dec 30, 2020","0.1840","0.1910","0.1932","0.1753","1.18B","-3.64%"
"Dec 29, 2020","0.1910","0.1764","0.1966","0.1736","2.11B","8.26%"
"Dec 28, 2020","0.1764","0.1546","0.1801","0.1530","1.29B","14.09%"
"Dec 27, 2020","0.1546","0.1583","0.1661","0.1496","1.18B","-2.33%"
"Dec 26, 2020","0.1583","0.1575","0.1624","0.1492","913.69M","0.51%"
"Dec 25, 2020","0.1575","0.1530","0.1669","0.1503","983.16M","2.96%"
"Dec 24, 2020","0.1530","0.1365","0.1545","0.1318","1.09B","12.07%"
"Dec 23, 2020","0.1365","0.1566","0.1578","0.1264","1.20B","-12.86%"
"Dec 22, 2020","0.1567","0.1527","0.1610","0.1491","777.26M","2.59%"
"Dec 21, 2020","0.1527","0.1620","0.1661","0.1479","700.21M","-5.74%"
"Dec 20, 2020","0.1620","0.1643","0.1689","0.1579","571.96M","-1.40%"
"Dec 19, 2020","0.1643","0.1650","0.1705","0.1630","570.48M","-0.44%"
"Dec 18, 2020","0.1650","0.1634","0.1694","0.1587","705.00M","0.98%"
"Dec 17, 2020","0.1634","0.1682","0.1760","0.1608","1.11B","-2.84%"
"Dec 16, 2020","0.1682","0.1538","0.1683","0.1492","756.99M","9.35%"
"Dec 15, 2020","0.1538","0.1582","0.1600","0.1529","439.64M","-2.84%"
"Dec 14, 2020","0.1583","0.1541","0.1584","0.1496","363.18M","2.77%"
"Dec 13, 2020","0.1540","0.1443","0.1566","0.1430","525.60M","6.79%"
"Dec 12, 2020","0.1443","0.1392","0.1472","0.1391","411.01M","3.62%"
"Dec 11, 2020","0.1392","0.1417","0.1428","0.1349","505.09M","-1.73%"
"Dec 10, 2020","0.1417","0.1480","0.1486","0.1396","489.74M","-4.26%"
"Dec 09, 2020","0.1480","0.1413","0.1501","0.1300","853.86M","4.75%"
"Dec 08, 2020","0.1413","0.1540","0.1549","0.1383","687.63M","-8.30%"
"Dec 07, 2020","0.1540","0.1587","0.1589","0.1515","413.79M","-2.91%"
"Dec 06, 2020","0.1587","0.1599","0.1626","0.1532","494.18M","-0.79%"
"Dec 05, 2020","0.1599","0.1478","0.1618","0.1462","614.13M","8.19%"
"Dec 04, 2020","0.1478","0.1641","0.1645","0.1464","750.34M","-9.92%"
"Dec 03, 2020","0.1641","0.1587","0.1682","0.1557","705.56M","3.44%"
"Dec 02, 2020","0.1587","0.1557","0.1597","0.1509","811.58M","2.00%"
"Dec 01, 2020","0.1555","0.1721","0.1743","0.1438","1.66B","-9.61%"
"Nov 30, 2020","0.1721","0.1665","0.1736","0.1601","1.46B","3.36%"
"Nov 29, 2020","0.1665","0.1649","0.1710","0.1574","1.43B","0.94%"
"Nov 28, 2020","0.1649","0.1415","0.1720","0.1391","1.77B","16.59%"
"Nov 27, 2020","0.1415","0.1385","0.1452","0.1308","1.22B","2.14%"
"Nov 26, 2020","0.1385","0.1552","0.1603","0.1207","2.26B","-10.78%"
"Nov 25, 2020","0.1552","0.1670","0.1753","0.1476","1.62B","-7.05%"
"Nov 24, 2020","0.1670","0.1693","0.1826","0.1519","2.53B","8.06%"
"Nov 23, 2020","0.1545","0.1457","0.1589","0.1414","2.05B","6.10%"
"Nov 22, 2020","0.1457","0.1335","0.1533","0.1201","2.69B","9.07%"
"Nov 21, 2020","0.1335","0.1184","0.1346","0.1164","1.50B","12.84%"
"Nov 20, 2020","0.1183","0.1059","0.1189","0.1056","720.77M","11.77%"
"Nov 19, 2020","0.1059","0.1065","0.1081","0.1045","449.27M","-0.61%"
"Nov 18, 2020","0.1065","0.1095","0.1115","0.1023","692.60M","-2.72%"
"Nov 17, 2020","0.1095","0.1039","0.1122","0.1036","662.41M","5.42%"
"Nov 16, 2020","0.1039","0.1006","0.1049","0.0995","342.83M","3.29%"
"Nov 15, 2020","0.1006","0.1041","0.1053","0.0986","380.82M","-3.35%"
"Nov 14, 2020","0.1041","0.1063","0.1072","0.1015","545.70M","-2.14%"
"Nov 13, 2020","0.1063","0.1046","0.1080","0.1041","424.38M","1.70%"
"Nov 12, 2020","0.1046","0.1060","0.1066","0.1026","386.56M","-1.35%"
"Nov 11, 2020","0.1060","0.1060","0.1088","0.1055","424.73M","0.00%"
"Nov 10, 2020","0.1060","0.1053","0.1091","0.1038","485.03M","0.61%"
"Nov 09, 2020","0.1053","0.1066","0.1080","0.1014","563.63M","-1.16%"
"Nov 08, 2020","0.1066","0.1013","0.1083","0.1000","503.32M","5.21%"
"Nov 07, 2020","0.1013","0.1091","0.1137","0.0991","1.08B","-7.08%"
"Nov 06, 2020","0.1090","0.0975","0.1100","0.0971","756.24M","11.77%"
"Nov 05, 2020","0.0975","0.0954","0.0980","0.0921","545.76M","2.20%"
"Nov 04, 2020","0.0954","0.0936","0.0962","0.0917","504.11M","1.95%"
"Nov 03, 2020","0.0936","0.0923","0.0940","0.0882","463.60M","1.46%"
"Nov 02, 2020","0.0923","0.0981","0.1000","0.0916","479.67M","-5.95%"
"Nov 01, 2020","0.0981","0.0930","0.0986","0.0926","68.03M","5.51%"
"Oct 31, 2020","0.0930","0.0933","0.0954","0.0921","402.66M","-0.36%"
"Oct 30, 2020","0.0933","0.0954","0.0956","0.0897","573.50M","-2.21%"
"Oct 29, 2020","0.0954","0.0987","0.1007","0.0949","519.80M","-3.41%"
"Oct 28, 2020","0.0988","0.1026","0.1033","0.0954","559.72M","-3.74%"
"Oct 27, 2020","0.1026","0.1031","0.1056","0.1019","399.49M","-0.43%"
"Oct 26, 2020","0.1031","0.1064","0.1075","0.0991","455.16M","-3.10%"
"Oct 25, 2020","0.1064","0.1080","0.1087","0.1061","260.65M","-1.52%"
"Oct 24, 2020","0.1080","0.1081","0.1098","0.1073","328.29M","-0.07%"
"Oct 23, 2020","0.1081","0.1108","0.1120","0.1054","385.50M","-2.44%"
"Oct 22, 2020","0.1108","0.1059","0.1127","0.1052","517.21M","4.47%"
"Oct 21, 2020","0.1060","0.1023","0.1085","0.1014","582.73M","3.69%"
"Oct 20, 2020","0.1023","0.1086","0.1088","0.1009","635.03M","-5.93%"
"Oct 19, 2020","0.1087","0.1073","0.1110","0.1061","402.60M","1.27%"
"Oct 18, 2020","0.1073","0.1059","0.1076","0.1051","253.57M","1.28%"
"Oct 17, 2020","0.1060","0.1041","0.1072","0.1032","347.45M","1.90%"
"Oct 16, 2020","0.1040","0.1066","0.1073","0.1023","73.15M","-2.49%"
"Oct 15, 2020","0.1067","0.1071","0.1076","0.1046","449.88M","-0.38%"
"Oct 14, 2020","0.1071","0.1093","0.1123","0.1053","675.41M","-2.08%"
"Oct 13, 2020","0.1093","0.1095","0.1142","0.1077","864.29M","-0.17%"
"Oct 12, 2020","0.1095","0.1065","0.1134","0.1023","817.34M","2.86%"
"Oct 11, 2020","0.1065","0.1050","0.1090","0.1042","636.86M","1.44%"
"Oct 10, 2020","0.1050","0.1013","0.1111","0.1013","1.01B","3.60%"
"Oct 09, 2020","0.1013","0.0962","0.1025","0.0949","610.83M","5.34%"
"Oct 08, 2020","0.0962","0.0937","0.0971","0.0900","522.49M","2.61%"
"Oct 07, 2020","0.0937","0.0929","0.0944","0.0895","415.84M","0.89%"
"Oct 06, 2020","0.0929","0.0975","0.0986","0.0915","563.64M","-4.67%"
"Oct 05, 2020","0.0975","0.0968","0.0994","0.0959","506.97M","0.67%"
"Oct 04, 2020","0.0968","0.0933","0.0980","0.0921","403.64M","3.79%"
"Oct 03, 2020","0.0933","0.0928","0.0952","0.0922","373.34M","0.53%"
"Oct 02, 2020","0.0928","0.0980","0.1002","0.0899","794.85M","-5.33%"
"Oct 01, 2020","0.0980","0.1013","0.1045","0.0951","633.98M","-3.29%"
"Sep 30, 2020","0.1013","0.1011","0.1016","0.0968","519.54M","0.26%"
"Sep 29, 2020","0.1011","0.1004","0.1035","0.0975","627.55M","0.65%"
"Sep 28, 2020","0.1004","0.1013","0.1066","0.1001","788.73M","-0.85%"
"Sep 27, 2020","0.1013","0.0955","0.1024","0.0943","716.50M","6.11%"
"Sep 26, 2020","0.0955","0.0969","0.0997","0.0924","678.24M","-1.49%"
"Sep 25, 2020","0.0969","0.0825","0.0985","0.0824","1.17B","17.40%"
"Sep 24, 2020","0.0825","0.0766","0.0837","0.0756","641.68M","7.77%"
"Sep 23, 2020","0.0766","0.0815","0.0828","0.0756","493.21M","-5.98%"
"Sep 22, 2020","0.0815","0.0797","0.0833","0.0793","527.85M","2.22%"
"Sep 21, 2020","0.0797","0.0893","0.0901","0.0775","806.98M","-10.76%"
"Sep 20, 2020","0.0893","0.0914","0.0922","0.0876","385.33M","-2.31%"
"Sep 19, 2020","0.0914","0.0910","0.0931","0.0905","342.09M","0.38%"
"Sep 18, 2020","0.0911","0.0941","0.0941","0.0897","234.73M","-3.19%"
"Sep 17, 2020","0.0941","0.0914","0.0946","0.0908","539.47M","2.93%"
"Sep 16, 2020","0.0914","0.0931","0.0933","0.0897","637.88M","-1.83%"
"Sep 15, 2020","0.0931","0.0966","0.0979","0.0929","549.79M","-3.65%"
"Sep 14, 2020","0.0966","0.0950","0.0980","0.0931","552.29M","1.69%"
"Sep 13, 2020","0.0950","0.0977","0.0997","0.0926","452.10M","-2.70%"
"Sep 12, 2020","0.0977","0.0969","0.0984","0.0945","349.31M","0.75%"
"Sep 11, 2020","0.0969","0.0970","0.0975","0.0931","456.90M","-0.08%"
"Sep 10, 2020","0.0970","0.0933","0.0994","0.0933","579.55M","3.95%"
"Sep 09, 2020","0.0933","0.0910","0.0957","0.0893","459.46M","2.53%"
"Sep 08, 2020","0.0910","0.0936","0.0969","0.0885","725.15M","-2.73%"
"Sep 07, 2020","0.0936","0.0926","0.0941","0.0863","689.52M","1.05%"
"Sep 06, 2020","0.0926","0.0900","0.0956","0.0856","713.37M","2.92%"
"Sep 05, 2020","0.0900","0.1017","0.1039","0.0862","989.94M","-11.51%"
"Sep 04, 2020","0.1017","0.0948","0.1039","0.0928","1.24B","7.26%"
"Sep 03, 2020","0.0948","0.1149","0.1169","0.0928","982.10M","-17.54%"
"Sep 02, 2020","0.1149","0.1245","0.1264","0.1110","692.55M","-7.69%"
"Sep 01, 2020","0.1245","0.1225","0.1280","0.1191","647.01M","1.68%"
"Aug 31, 2020","0.1225","0.1175","0.1266","0.1131","805.51M","4.22%"
"Aug 30, 2020","0.1175","0.1162","0.1187","0.1137","438.73M","1.07%"
"Aug 29, 2020","0.1163","0.1093","0.1178","0.1082","430.43M","6.37%"
"Aug 28, 2020","0.1093","0.1072","0.1113","0.1061","498.13M","1.97%"
"Aug 27, 2020","0.1072","0.1144","0.1156","0.1022","734.80M","-6.31%"
"Aug 26, 2020","0.1144","0.1124","0.1181","0.1102","601.41M","1.79%"
"Aug 25, 2020","0.1124","0.1236","0.1239","0.1055","868.15M","-9.10%"
"Aug 24, 2020","0.1236","0.1214","0.1269","0.1201","403.13M","1.85%"
"Aug 23, 2020","0.1214","0.1253","0.1259","0.1195","365.80M","-3.09%"
"Aug 22, 2020","0.1253","0.1229","0.1262","0.1184","459.12M","1.90%"
"Aug 21, 2020","0.1229","0.1340","0.1342","0.1215","568.98M","-8.26%"
"Aug 20, 2020","0.1340","0.1296","0.1344","0.1261","465.46M","3.40%"
"Aug 19, 2020","0.1296","0.1370","0.1382","0.1266","632.39M","-5.39%"
"Aug 18, 2020","0.1370","0.1405","0.1439","0.1345","503.01M","-2.50%"
"Aug 17, 2020","0.1405","0.1388","0.1447","0.1374","652.12M","1.21%"
"Aug 16, 2020","0.1388","0.1384","0.1395","0.1350","373.36M","0.29%"
"Aug 15, 2020","0.1384","0.1383","0.1416","0.1365","468.83M","0.10%"
"Aug 14, 2020","0.1383","0.1394","0.1410","0.1375","437.03M","-0.80%"
"Aug 13, 2020","0.1394","0.1367","0.1419","0.1322","629.97M","1.99%"
"Aug 12, 2020","0.1367","0.1369","0.1378","0.1243","688.90M","-0.14%"
"Aug 11, 2020","0.1368","0.1439","0.1444","0.1318","577.55M","-4.87%"
"Aug 10, 2020","0.1439","0.1452","0.1465","0.1419","538.55M","-0.91%"
"Aug 09, 2020","0.1452","0.1468","0.1522","0.1421","680.86M","-1.09%"
