"","Date","AssetID","Price","Open","High","Low","Vol.","Change.."
"1",2017-12-31 05:30:00,"btc",13800,12385,14140,12183.9,43290,0.115
"2",2017-12-30 05:30:00,"btc",12377,14308,14403,11690,75430,-0.1355
"3",2017-12-29 05:30:00,"btc",14317,14323,15105,13847,48010,1e-04
"4",2017-12-28 05:30:00,"btc",14315,15374,15467,13232,72890,-0.0689
"5",2017-12-27 05:30:00,"btc",15374,15680,16494,14463,54990,-0.0195
"6",2017-12-26 05:30:00,"btc",15679,13627,16048,13550,63440,0.1509
"7",2017-12-25 05:30:00,"btc",13623,13517,14278,12678,45610,0.0109
"8",2017-12-24 05:30:00,"btc",13476,14036,14047,11601.2,72380,-0.0398
"9",2017-12-23 05:30:00,"btc",14035,13173,14986,12755,59920,0.0657
"10",2017-12-22 05:30:00,"btc",13170,15650,15826,10718,179000,-0.1594
"11",2017-12-21 05:30:00,"btc",15666.8,16433,17333,14827,65580,-0.0462
"12",2017-12-20 05:30:00,"btc",16425,17340,17709,15500,82160,-0.053
"13",2017-12-19 05:30:00,"btc",17345,18931,18987,16500,66650,-0.0839
"14",2017-12-18 05:30:00,"btc",18934,18959,19171,18010,53580,-0.002
"15",2017-12-17 05:30:00,"btc",18971,19210,19891,18622,51800,-0.0113
"16",2017-12-16 05:30:00,"btc",19187,17569.5,19548,17098,48270,0.095
"17",2017-12-15 05:30:00,"btc",17522,16396,18098,16352,63110,0.0695
"18",2017-12-14 05:30:00,"btc",16383,16122,16999,15870,45720,0.0125
"19",2017-12-13 05:30:00,"btc",16181,17010,17288,15674,62880,-0.0463
"20",2017-12-12 05:30:00,"btc",16967,16754,17500,16234,52090,0.0127
"21",2017-12-11 05:30:00,"btc",16754,14937,17443,14937,78090,0.1172
"22",2017-12-10 05:30:00,"btc",14997,14660,15728,12748,107050,0.023
"23",2017-12-09 05:30:00,"btc",14660,15829,16300,13021,77820,-0.0762
"24",2017-12-08 05:30:00,"btc",15869,16608,17160,13774,124110,-0.0441
"25",2017-12-07 05:30:00,"btc",16601,13500,16639,13154,141260,0.2272
"26",2017-12-06 05:30:00,"btc",13527,11590,13598,11590,83590,0.1666
"27",2017-12-05 05:30:00,"btc",11595,11611,11949,11414,48940,0
"28",2017-12-04 05:30:00,"btc",11595,11162,11598,10788,63740,0.0393
"29",2017-12-03 05:30:00,"btc",11157,10880,11842,10299,93060,0.0254
"30",2017-12-02 05:30:00,"btc",10881,10852,11187,10627,49710,0.0011
"31",2017-12-01 05:30:00,"btc",10869,9907,10949,9370.1,84140,0.0971
"32",2017-11-30 05:30:00,"btc",9907,9771.9,10540,8821,129070,0.0162
"33",2017-11-29 05:30:00,"btc",9749.4,9891.9,11427.2,9001.1,182740,-0.015
"34",2017-11-28 05:30:00,"btc",9898,9727.1,9977.8,9608.3,47110,0.0174
"35",2017-11-27 05:30:00,"btc",9728.8,9303.9,9760.7,9268.9,66660,0.0443
"36",2017-11-26 05:30:00,"btc",9316,8791,9495,8769.2,67570,0.0627
"37",2017-11-25 05:30:00,"btc",8766.2,8191.6,8770,8132.9,44250,0.0701
"38",2017-11-24 05:30:00,"btc",8191.6,7977,8350.7,7873,42850,0.0269
"39",2017-11-23 05:30:00,"btc",7977.1,8230,8267.6,7977.1,32100,-0.0307
"40",2017-11-22 05:30:00,"btc",8230.1,8097.3,8310,8064.3,28860,0.0164
"41",2017-11-21 05:30:00,"btc",8097.3,8245.1,8380,7790,71850,-0.0179
"42",2017-11-20 05:30:00,"btc",8245.1,8052.8,8310.2,7943.4,38280,0.0237
"43",2017-11-19 05:30:00,"btc",8054.2,7770.6,8126.9,7652,39130,0.0361
"44",2017-11-18 05:30:00,"btc",7773.3,7674.1,7867,7419.5,40700,0.0124
"45",2017-11-17 05:30:00,"btc",7677.9,7865,8029.8,7511.1,75950,-0.0237
"46",2017-11-16 05:30:00,"btc",7864.2,7273.7,8012.9,7099.9,85880,0.0805
"47",2017-11-15 05:30:00,"btc",7278.3,6589.9,7310.2,6589.9,71610,0.1063
"48",2017-11-14 05:30:00,"btc",6579.2,6476.5,6687.8,6315.4,49520,0.0162
"49",2017-11-13 05:30:00,"btc",6474.6,5806.5,6680,5786.1,110440,0.1121
"50",2017-11-12 05:30:00,"btc",5822.1,6282.4,6465,5426,172690,-0.076
"51",2017-11-11 05:30:00,"btc",6300.7,6541.2,6788,6166,72840,-0.0369
"52",2017-11-10 05:30:00,"btc",6542.2,7123.3,7313.1,6405.2,88430,-0.082
"53",2017-11-09 05:30:00,"btc",7126.2,7447,7447,7017.6,50140,-0.0425
"54",2017-11-08 05:30:00,"btc",7442.4,7102,7895,7029.9,97300,0.0477
"55",2017-11-07 05:30:00,"btc",7103.3,6959.6,7214.4,6959,37540,0.0213
"56",2017-11-06 05:30:00,"btc",6955,7355.1,7429.5,6915.1,63270,-0.0578
"57",2017-11-05 05:30:00,"btc",7382,7370.9,7595,7272,46290,0.0018
"58",2017-11-04 05:30:00,"btc",7369,7104,7521.1,6936.5,48620,0.0124
"59",2017-11-03 05:30:00,"btc",7278.4,7018.9,7447.5,6926.5,64150,0.0368
"60",2017-11-02 05:30:00,"btc",7019.9,6735,7315.1,6724.5,97450,0.0435
"61",2017-11-01 05:30:00,"btc",6727.3,6450.2,6727.3,6348,57130,0.0417
"62",2017-10-31 05:30:00,"btc",6458.3,6129.9,6472.1,6082.7,38760,0.0544
"63",2017-10-30 05:30:00,"btc",6125.3,6146,6237.2,6010,33260,-0.005
"64",2017-10-29 05:30:00,"btc",6156,5718.1,6330,5662.9,61920,0.0761
"65",2017-10-28 05:30:00,"btc",5720.6,5759.8,5863.9,5634.7,26660,-0.0068
"66",2017-10-27 05:30:00,"btc",5759.6,5890,6010.2,5681.2,39710,-0.0221
"67",2017-10-26 05:30:00,"btc",5890,5724.2,5966.6,5680.5,42720,0.0297
"68",2017-10-25 05:30:00,"btc",5720,5509.9,5743.9,5367.9,44800,0.0382
"69",2017-10-24 05:30:00,"btc",5509.5,5902.5,5902.5,5457.5,64030,-0.0673
"70",2017-10-23 05:30:00,"btc",5906.9,5980.5,6051,5639.8,67060,-0.0123
"71",2017-10-22 05:30:00,"btc",5980.5,6005.1,6069.6,5717.9,50580,-0.0041
"72",2017-10-21 05:30:00,"btc",6005.1,5984.9,6190,5873.6,53520,0.0034
"73",2017-10-20 05:30:00,"btc",5984.5,5694,6082.2,5606.4,61780,0.051
"74",2017-10-19 05:30:00,"btc",5694,5574.8,5741,5505.8,38040,0.0232
"75",2017-10-18 05:30:00,"btc",5565,5597.7,5597.9,5114.3,69040,-0.0057
"76",2017-10-17 05:30:00,"btc",5597.1,5764.8,5779,5511,31910,-0.029
