Date,Price,Open,High,Low,Vol.,Change %
"Dec 31, 2017","0.008927","0.007672","0.009100","0.007500","597.41M","16.36%"
"Dec 30, 2017","0.007672","0.009228","0.009400","0.006990","558.77M","-16.86%"
"Dec 29, 2017","0.009228","0.008244","0.009450","0.007577","637.88M","11.94%"
"Dec 28, 2017","0.008244","0.008861","0.008869","0.007221","543.30M","-6.96%"
"Dec 27, 2017","0.008861","0.009332","0.009600","0.008090","505.32M","-5.05%"
"Dec 26, 2017","0.009332","0.008648","0.009686","0.008000","608.89M","7.91%"
"Dec 25, 2017","0.008648","0.008356","0.011020","0.008124","713.90M","3.49%"
"Dec 24, 2017","0.008356","0.006949","0.008581","0.005500","850.85M","20.25%"
"Dec 23, 2017","0.006949","0.006071","0.007870","0.005682","750.24M","14.46%"
"Dec 22, 2017","0.006071","0.007497","0.007621","0.004270","952.23M","-19.02%"
"Dec 21, 2017","0.007497","0.006392","0.008767","0.006107","819.43M","17.29%"
"Dec 20, 2017","0.006392","0.005409","0.007000","0.004529","1.03B","18.17%"
"Dec 19, 2017","0.005409","0.006270","0.006700","0.005222","907.96M","-13.73%"
"Dec 18, 2017","0.006270","0.005841","0.007000","0.005582","802.77M","7.34%"
"Dec 17, 2017","0.005841","0.005634","0.007804","0.005306","908.22M","3.67%"
"Dec 16, 2017","0.005634","0.003659","0.006800","0.003610","1.27B","53.98%"
"Dec 15, 2017","0.003659","0.003591","0.003750","0.003417","1.26B","1.89%"
"Dec 14, 2017","0.003591","0.003382","0.003900","0.003301","1.18B","6.18%"
"Dec 13, 2017","0.003382","0.003126","0.003900","0.003010","1.52B","8.19%"
"Dec 12, 2017","0.003126","0.002646","0.003434","0.002580","1.56B","18.14%"
"Dec 11, 2017","0.002646","0.002519","0.002800","0.002377","1.46B","5.04%"
"Dec 10, 2017","0.002519","0.002564","0.002686","0.002200","1.69B","-1.76%"
"Dec 09, 2017","0.002564","0.002692","0.002730","0.002220","1.64B","-4.75%"
"Dec 08, 2017","0.002692","0.002666","0.002860","0.002303","1.78B","0.98%"
"Dec 07, 2017","0.002666","0.002586","0.002778","0.002380","1.79B","3.09%"
"Dec 06, 2017","0.002586","0.002467","0.002600","0.002202","1.81B","4.82%"
"Dec 05, 2017","0.002467","0.002439","0.002650","0.002394","1.63B","1.15%"
"Dec 04, 2017","0.002439","0.002186","0.002450","0.002131","1.75B","11.57%"
"Dec 03, 2017","0.002186","0.002073","0.002339","0.001977","2.28B","5.45%"
"Dec 02, 2017","0.002073","0.002127","0.002173","0.002041","1.58B","-2.54%"
"Dec 01, 2017","0.002127","0.002053","0.002240","0.001971","1.99B","3.60%"
"Nov 30, 2017","0.002053","0.002043","0.002409","0.001835","1.80B","0.49%"
"Nov 29, 2017","0.002043","0.002360","0.002700","0.001909","2.36B","-13.43%"
"Nov 28, 2017","0.002360","0.001965","0.002360","0.001925","2.25B","20.10%"
"Nov 27, 2017","0.001965","0.001957","0.002028","0.001851","2.38B","0.41%"
"Nov 26, 2017","0.001957","0.002074","0.002148","0.001846","1.35B","-5.64%"
"Nov 25, 2017","0.002074","0.001903","0.002079","0.001770","1.47B","8.99%"
"Nov 24, 2017","0.001903","0.001905","0.002000","0.001731","1.55B","-0.10%"
"Nov 23, 2017","0.001905","0.001837","0.002451","0.001642","1.52B","3.70%"
"Nov 22, 2017","0.001837","0.001376","0.002082","0.001356","2.44B","33.50%"
"Nov 21, 2017","0.001376","0.001373","0.001494","0.001280","2.41B","0.22%"
"Nov 20, 2017","0.001373","0.001362","0.001400","0.001283","1.31B","0.81%"
"Nov 19, 2017","0.001362","0.001320","0.001362","0.001302","14.91M","3.18%"
"Nov 18, 2017","0.001320","0.001298","0.001332","0.001255","1.35B","1.69%"
"Nov 17, 2017","0.001298","0.001353","0.001368","0.001208","2.05B","-4.07%"
"Nov 16, 2017","0.001353","0.001295","0.001392","0.001266","2.00B","4.48%"
"Nov 15, 2017","0.001295","0.001171","0.001326","0.001170","2.06B","10.59%"
"Nov 14, 2017","0.001171","0.001162","0.001200","0.001129","2.79B","0.77%"
"Nov 13, 2017","0.001162","0.001060","0.001200","0.001048","1.97B","9.62%"
"Nov 12, 2017","0.001060","0.001172","0.001172","0.001023","1.71B","-9.56%"
"Nov 11, 2017","0.001172","0.001158","0.001230","0.001125","1.14B","1.21%"
"Nov 10, 2017","0.001158","0.001392","0.001400","0.001130","748.05M","-16.81%"
"Nov 09, 2017","0.001392","0.001191","0.001400","0.001173","2.50B","16.88%"
"Nov 08, 2017","0.001191","0.001169","0.001239","0.001132","2.52B","1.88%"
"Nov 07, 2017","0.001169","0.001143","0.001190","0.001136","1.24B","2.27%"
"Nov 06, 2017","0.001143","0.001169","0.001210","0.001092","1.38B","-2.22%"
