Date	Price	Open	High	Low	Vol.	Change %
31-Dec-18	0.002327	0.002333	0.002361	0.002309	600.30M	-0.23%
30-Dec-18	0.002333	0.002313	0.002355	0.002305	365.26M	0.86%
29-Dec-18	0.002313	0.002377	0.002383	0.002311	450.02M	-2.71%
28-Dec-18	0.002377	0.002299	0.00239	0.002245	603.38M	3.41%
27-Dec-18	0.002299	0.002393	0.002403	0.002299	646.90M	-3.92%
26-Dec-18	0.002393	0.002379	0.002434	0.002353	605.04M	0.56%
25-Dec-18	0.002379	0.002506	0.002506	0.002305	668.91M	-5.08%
24-Dec-18	0.002507	0.002491	0.002608	0.002486	1.17B	0.65%
23-Dec-18	0.00249	0.002446	0.002564	0.00243	934.40M	1.80%
22-Dec-18	0.002446	0.002465	0.002504	0.002339	1.06B	-0.79%
21-Dec-18	0.002466	0.002653	0.002693	0.002421	1.30B	-7.03%
20-Dec-18	0.002653	0.002627	0.002699	0.002506	1.10B	0.88%
19-Dec-18	0.002629	0.002518	0.002801	0.002508	1.67B	4.41%
18-Dec-18	0.002518	0.002531	0.002679	0.002451	1.66B	-0.48%
17-Dec-18	0.002531	0.002109	0.002874	0.002098	1.74B	20.02%
16-Dec-18	0.002109	0.002064	0.002147	0.002062	678.68M	2.15%
15-Dec-18	0.002064	0.002074	0.002084	0.002062	316.54M	-0.47%
14-Dec-18	0.002074	0.002056	0.002084	0.002044	533.57M	0.86%
13-Dec-18	0.002056	0.002082	0.002086	0.002053	467.50M	-1.20%
12-Dec-18	0.002081	0.00208	0.002098	0.002068	536.14M	-0.27%
11-Dec-18	0.002087	0.002063	0.002091	0.002049	383.70M	1.15%
10-Dec-18	0.002063	0.002092	0.002112	0.002054	390.78M	-1.36%
9-Dec-18	0.002092	0.002105	0.002129	0.002068	526.71M	-0.66%
8-Dec-18	0.002105	0.002123	0.002146	0.002053	569.72M	-0.85%
7-Dec-18	0.002123	0.002111	0.002162	0.002016	896.51M	0.59%
6-Dec-18	0.002111	0.002197	0.002222	0.002111	941.33M	-3.91%
5-Dec-18	0.002197	0.002202	0.002225	0.00218	715.33M	-0.25%
4-Dec-18	0.002202	0.002157	0.002217	0.002115	754.27M	2.10%
3-Dec-18	0.002157	0.002211	0.002215	0.002129	594.03M	-2.47%
2-Dec-18	0.002211	0.00223	0.002245	0.002195	631.95M	-0.83%
1-Dec-18	0.00223	0.002185	0.002243	0.002168	662.05M	2.08%
30-Nov-18	0.002185	0.002226	0.002243	0.002129	679.60M	-1.87%
29-Nov-18	0.002226	0.002235	0.002255	0.002158	816.32M	-0.40%
28-Nov-18	0.002235	0.002078	0.002283	0.002078	1.31B	7.55%
27-Nov-18	0.002078	0.002127	0.002135	0.002011	1.00B	-2.29%
26-Nov-18	0.002127	0.002261	0.002293	0.002062	1.08B	-5.93%
25-Nov-18	0.002261	0.002256	0.002288	0.00212	907.74M	0.24%
24-Nov-18	0.002256	0.002386	0.002438	0.002255	933.40M	-5.43%
23-Nov-18	0.002386	0.002381	0.00242	0.002305	936.92M	0.13%
22-Nov-18	0.002383	0.002476	0.002524	0.002348	1.39B	-3.78%
21-Nov-18	0.002476	0.002329	0.002575	0.002209	2.47B	6.30%
20-Nov-18	0.002329	0.002435	0.002475	0.00224	2.14B	-4.34%
19-Nov-18	0.002435	0.002638	0.002753	0.002434	1.82B	-7.68%
18-Nov-18	0.002638	0.002602	0.002692	0.002555	789.91M	1.36%
17-Nov-18	0.002602	0.002761	0.002768	0.002555	986.08M	-5.75%
16-Nov-18	0.002761	0.002851	0.002889	0.002702	1.79B	-3.18%
15-Nov-18	0.002851	0.002772	0.002872	0.00248	2.70B	2.94%
14-Nov-18	0.00277	0.002967	0.002983	0.002629	1.46B	-6.64%
13-Nov-18	0.002967	0.003084	0.003109	0.002963	663.89M	-3.78%
12-Nov-18	0.003084	0.00317	0.003202	0.003024	1.00B	-2.73%
11-Nov-18	0.00317	0.003291	0.003323	0.003145	870.20M	-3.71%
10-Nov-18	0.003292	0.003128	0.003375	0.003066	1.73B	5.24%
9-Nov-18	0.003128	0.003362	0.003363	0.00305	2.16B	-6.94%
8-Nov-18	0.003362	0.003632	0.003647	0.003231	1.37B	-7.46%
7-Nov-18	0.003632	0.003701	0.00374	0.003627	786.65M	-1.84%
6-Nov-18	0.003701	0.00365	0.003826	0.003613	1.49B	1.38%
5-Nov-18	0.00365	0.003727	0.003729	0.003599	978.49M	-2.06%
4-Nov-18	0.003727	0.003758	0.003769	0.003707	618.23M	-0.83%
3-Nov-18	0.003758	0.003792	0.003797	0.003757	445.93M	-0.89%
2-Nov-18	0.003792	0.003787	0.003832	0.003767	834.10M	0.21%
1-Nov-18	0.003784	0.003804	0.003818	0.003757	749.76M	-0.53%
31-Oct-18	0.003804	0.003897	0.003935	0.003609	1.31B	-2.39%
30-Oct-18	0.003897	0.003855	0.003955	0.003854	801.80M	1.07%
29-Oct-18	0.003856	0.00405	0.004085	0.003831	946.70M	-4.81%
28-Oct-18	0.00405	0.004218	0.004229	0.004039	737.29M	-3.98%
27-Oct-18	0.004218	0.004111	0.004401	0.004062	1.95B	2.61%
26-Oct-18	0.004111	0.003745	0.004113	0.003745	1.42B	9.77%
25-Oct-18	0.003745	0.003964	0.003971	0.003687	1.16B	-5.43%
24-Oct-18	0.00396	0.004199	0.004201	0.003904	1.76B	-5.69%
23-Oct-18	0.004199	0.004446	0.00446	0.004166	1.07B	-5.56%
22-Oct-18	0.004446	0.004567	0.004605	0.00442	596.81M	-2.64%
21-Oct-18	0.004567	0.004642	0.004678	0.004563	519.79M	-1.62%
