"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","0.002015","0.002038","0.002052","0.001998","1.61B","-1.17%"
"Dec 30, 2019","0.002038","0.002153","0.002161","0.002006","1.53B","-5.30%"
"Dec 29, 2019","0.002153","0.002122","0.002165","0.002097","3.69B","1.46%"
"Dec 28, 2019","0.002122","0.002104","0.002156","0.002098","3.86B","0.86%"
"Dec 27, 2019","0.002104","0.002202","0.002210","0.002067","3.72B","-4.49%"
"Dec 26, 2019","0.002202","0.002199","0.002213","0.002177","3.75B","0.17%"
"Dec 25, 2019","0.002199","0.002247","0.002247","0.002048","3.83B","-2.15%"
"Dec 24, 2019","0.002247","0.002126","0.002306","0.002114","3.65B","5.66%"
"Dec 23, 2019","0.002126","0.002132","0.002178","0.002115","3.97B","-0.24%"
"Dec 22, 2019","0.002132","0.002118","0.002151","0.002077","4.06B","0.63%"
"Dec 21, 2019","0.002118","0.002094","0.002138","0.002066","3.69B","1.17%"
"Dec 20, 2019","0.002094","0.002206","0.002325","0.002046","3.51B","-5.11%"
"Dec 19, 2019","0.002206","0.002247","0.002302","0.002170","4.04B","-1.80%"
"Dec 18, 2019","0.002247","0.002207","0.002248","0.002126","4.85B","1.78%"
"Dec 17, 2019","0.002207","0.002249","0.002272","0.002183","4.66B","-1.86%"
"Dec 16, 2019","0.002249","0.002275","0.002317","0.002221","3.93B","-1.15%"
"Dec 15, 2019","0.002275","0.002294","0.002310","0.002248","3.83B","-0.82%"
"Dec 14, 2019","0.002294","0.002302","0.002323","0.002261","3.83B","-0.33%"
"Dec 13, 2019","0.002302","0.002304","0.002326","0.002294","3.81B","-0.12%"
"Dec 12, 2019","0.002304","0.002304","0.002324","0.002288","3.77B","0.00%"
"Dec 11, 2019","0.002304","0.002306","0.002341","0.002281","3.95B","-0.08%"
"Dec 10, 2019","0.002306","0.002281","0.002315","0.002261","3.99B","1.10%"
"Dec 09, 2019","0.002281","0.002287","0.002311","0.002261","3.74B","-0.27%"
"Dec 08, 2019","0.002287","0.002288","0.002692","0.002200","3.53B","-0.04%"
"Dec 07, 2019","0.002288","0.002335","0.002342","0.002208","3.79B","-1.99%"
"Dec 06, 2019","0.002335","0.002328","0.002355","0.002285","3.58B","0.27%"
"Dec 05, 2019","0.002328","0.002291","0.002346","0.002216","3.84B","1.64%"
"Dec 04, 2019","0.002291","0.002293","0.002367","0.002230","4.28B","-0.10%"
"Dec 03, 2019","0.002293","0.002320","0.002332","0.002201","3.49B","-1.18%"
"Dec 02, 2019","0.002320","0.002365","0.002366","0.002274","2.90B","-1.89%"
