Date	Price	Open	High	Low	Vol.	Change %
31-Dec-17	736.77	682.22	741.99	675.56	536.84K	8.00%
30-Dec-17	682.22	731.52	737.56	640.43	936.94K	-6.74%
29-Dec-17	731.52	711.42	755	703.02	716.87K	2.83%
28-Dec-17	711.42	736.45	740.3	652	893.82K	-3.40%
27-Dec-17	736.45	749.8	766.06	703.27	587.33K	-1.78%
26-Dec-17	749.8	709.81	749.8	708.83	521.74K	5.63%
25-Dec-17	709.81	659.89	737	651.76	764.73K	7.56%
24-Dec-17	659.89	672.59	675	560	1.09M	-1.89%
23-Dec-17	672.59	628.19	717	616.19	842.43K	7.07%
22-Dec-17	628.19	786.97	792	492.01	2.73M	-20.18%
21-Dec-17	786.97	794.99	848.08	747.1	1.20M	-1.01%
20-Dec-17	794.99	799.98	826.2	709	1.48M	-0.62%
19-Dec-17	799.98	783.99	863	750.01	1.81M	2.04%
18-Dec-17	783.99	708.78	798.9	660	1.47M	10.61%
17-Dec-17	708.78	683.25	725	683.24	737.16K	3.74%
16-Dec-17	683.25	678.29	711.96	672.51	703.29K	0.73%
15-Dec-17	678.29	686.51	698.31	610	1.26M	-1.20%
14-Dec-17	686.51	690.69	760	651	1.73M	-0.61%
13-Dec-17	690.69	634.87	742	573	2.40M	8.79%
12-Dec-17	634.87	515.25	646.92	497.75	1.49M	23.22%
11-Dec-17	515.25	429.24	531.2	429.14	784.74K	20.04%
10-Dec-17	429.24	460.92	460.92	413.3	875.79K	-6.87%
9-Dec-17	460.92	442.19	487.8	441	1.13M	4.24%
8-Dec-17	442.19	415.02	453.61	400.34	1.12M	6.55%
7-Dec-17	415.02	413.71	429	390	1.13M	0.32%
6-Dec-17	413.71	451.87	454.23	403	1.29M	-8.44%
5-Dec-17	451.87	465	467.38	444.17	656.34K	-2.82%
4-Dec-17	465	459.49	471.06	439.27	431.18K	1.20%
3-Dec-17	459.49	455.51	482.69	431.04	482.91K	0.87%
2-Dec-17	455.51	460.67	472	447	473.67K	-1.12%
1-Dec-17	460.67	432.21	467	413.96	594.10K	6.58%
30-Nov-17	432.21	420.34	454.95	385.4	785.98K	2.82%
29-Nov-17	420.34	465.56	517	403.01	801.26K	-9.71%
28-Nov-17	465.56	473.44	479	457.2	538.34K	-1.66%
27-Nov-17	473.44	464	491.89	458.25	671.20K	2.03%
26-Nov-17	464	464	464	464	-	0.00%
25-Nov-17	464	469.89	481.99	454.4	589.72K	-1.38%
24-Nov-17	470.51	405.19	478.5	397.37	903.70K	16.12%
23-Nov-17	405.19	380.48	426.27	374.34	925.00K	6.49%
22-Nov-17	380.48	360	381.89	358.8	486.17K	5.69%
21-Nov-17	360	367.94	373.5	350	696.99K	-2.16%
20-Nov-17	367.94	354.7	373.7	352.03	519.57K	3.73%
19-Nov-17	354.7	346.68	371	343.28	618.02K	2.31%
18-Nov-17	346.68	331	350.4	325.32	518.81K	4.74%
17-Nov-17	331	331.16	335.01	325	530.71K	0.07%
16-Nov-17	330.76	330.59	335.11	321.18	521.94K	0.05%
15-Nov-17	330.59	334.28	339.61	321.5	584.66K	-1.10%
14-Nov-17	334.28	313.22	336.69	313.22	854.09K	6.72%
13-Nov-17	313.22	303.9	318	302.4	696.37K	3.07%
12-Nov-17	303.9	313.07	316.99	293.33	879.41K	-2.93%
11-Nov-17	313.07	296.18	319.88	294.7	604.70K	5.70%
10-Nov-17	296.18	319.52	324.03	286	1.16M	-7.30%
9-Nov-17	319.52	307.5	328.8	305	881.18K	3.91%
8-Nov-17	307.5	291.42	318.9	290.11	1.17M	5.52%
7-Nov-17	291.42	296.9	304.2	285.01	757.80K	-1.85%
6-Nov-17	296.9	295.63	310	292	557.78K	0.43%
5-Nov-17	295.63	299.48	301	292.28	345.21K	-1.29%
4-Nov-17	299.48	303.47	304.38	293	463.88K	-1.31%
3-Nov-17	303.47	284.89	307.36	284	760.96K	6.52%
2-Nov-17	284.89	288.6	293.01	275.21	910.76K	-1.29%
