"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @argdebate: Build your best portfolio, choose 4 #cryptocurrencies that are listed below.

$BTC 
$ETH 
$BNB 
$BABYTK
$XRP
$SFM
$ADA
$MATI…",FALSE,0,NA,2021-12-10 05:39:12,FALSE,NA,"1469179871851167749",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","farshad59161465",132,TRUE,FALSE,NA,NA
"2","RT @Tronminingg: 6000$  $shib RANDOM WINNER <U+0001F389>

follow me + retweet this post

#Ethereum #btc  #giveaway #SHIB #doge #SHIBARMY",FALSE,0,NA,2021-12-10 05:39:11,FALSE,NA,"1469179869372293122",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seal_az",1969,TRUE,FALSE,NA,NA
"3","RT @WhaleStats: <U+0001F433> ETH whale ""Jiraiya"" just bought 49,999,041,461 $shib ($1,798,465 USD).

Ranked #17 on WhaleStats: https://t.co/7sKlsE7KMV…",FALSE,0,NA,2021-12-10 05:39:09,FALSE,NA,"1469179859444596738",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shibsoldier4",397,TRUE,FALSE,NA,NA
"4","RT @ShibReform: Giving away 1 $ETH ($4,208) to a random person that likes + rt's this tweet and is following in the next 12 hours. <U+0001F381>

If yo…",FALSE,0,NA,2021-12-10 05:39:09,FALSE,NA,"1469179859293278210",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raburton85",1415,TRUE,FALSE,NA,NA
"5","RT @CryptooBeast: If I sent u 100,000,000 $Shib randomly are you selling ??<U+0001F440>",FALSE,0,NA,2021-12-10 05:39:08,FALSE,NA,"1469179857292886017",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ellagarfin79",132,TRUE,FALSE,NA,NA
"6","RT @Tronminingg: 6000$  $shib RANDOM WINNER <U+0001F389>

follow me + retweet this post

#Ethereum #btc  #giveaway #SHIB #doge #SHIBARMY",FALSE,0,NA,2021-12-10 05:39:07,FALSE,NA,"1469179853169590272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MGhondez",1969,TRUE,FALSE,NA,NA
"7","RT @ShibInform: If you hold 15m+ $SHIB, Retweet!<U+0001F503><U+0001F4AF><U+0001F680>",FALSE,0,NA,2021-12-10 05:39:06,FALSE,NA,"1469179847758995458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","xugurgungorx",235,TRUE,FALSE,NA,NA
"8","RT @WhaleInsider: If $SHIB reaches $0.00004 in 24 hours I’m giving away 1 billion #Shib to everyone who follows and retweets. Let’s go #Shi…",FALSE,0,NA,2021-12-10 05:39:05,FALSE,NA,"1469179845926174728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","akili5869",5177,TRUE,FALSE,NA,NA
"9","RT @davidgokhshtein: Wen $SHIB?",FALSE,0,NA,2021-12-10 05:39:04,FALSE,NA,"1469179839936868354",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shibsoldier4",303,TRUE,FALSE,NA,NA
"10","RT @Shibzone: If I sent u 50,000,000 $Shib randomly are you selling ??<U+0001F440>",FALSE,0,NA,2021-12-10 05:38:58,FALSE,NA,"1469179815332757506",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AllenKiyokane",95,TRUE,FALSE,NA,NA
