"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","0.9996","1.0083","1.0113","0.9996","2.67M","-0.86%"
"Dec 30, 2018","1.0083","1.0097","1.0119","1.0048","2.28M","-0.15%"
"Dec 29, 2018","1.0097","1.0144","1.0184","1.0054","3.47M","-0.20%"
"Dec 28, 2018","1.0117","1.0075","1.0173","1.0043","7.10M","0.42%"
"Dec 27, 2018","1.0075","1.0162","1.0162","1.0060","2.50M","-0.21%"
"Dec 26, 2018","1.0096","1.0116","1.0190","1.0072","1.24M","-0.19%"
"Dec 25, 2018","1.0116","1.0053","1.0136","1.0033","2.30M","0.62%"
"Dec 24, 2018","1.0053","1.0100","1.0115","1.0034","4.43M","0.13%"
"Dec 23, 2018","1.0040","1.0146","1.0150","1.0032","1.45M","-0.42%"
"Dec 22, 2018","1.0082","1.0022","1.0085","0.9999","2.55M","0.75%"
"Dec 21, 2018","1.0007","1.0065","1.0105","1.0006","4.07M","-0.57%"
"Dec 20, 2018","1.0065","1.0047","1.0139","1.0003","8.73M","0.18%"
"Dec 19, 2018","1.0047","1.0090","1.0145","0.9978","5.08M","0.08%"
"Dec 18, 2018","1.0039","0.9974","1.0044","0.9967","5.55M","0.65%"
"Dec 17, 2018","0.9974","0.9919","1.0030","0.9918","3.52M","0.55%"
"Dec 16, 2018","0.9919","0.9922","0.9993","0.9897","1.19M","-0.03%"
"Dec 15, 2018","0.9922","0.9932","0.9984","0.9910","1.05M","-0.08%"
"Dec 14, 2018","0.9930","0.9884","0.9933","0.9864","2.44M","0.46%"
"Dec 13, 2018","0.9884","0.9955","1.0045","0.9867","6.53M","-0.71%"
"Dec 12, 2018","0.9955","1.0030","1.0030","0.9945","1.98M","0.28%"
"Dec 11, 2018","0.9928","1.0076","1.0104","0.9885","2.40M","-0.43%"
"Dec 10, 2018","0.9971","0.9950","1.0004","0.9936","1.32M","0.21%"
"Dec 09, 2018","0.9950","0.9964","1.0004","0.9942","1.51M","-0.15%"
"Dec 08, 2018","0.9964","0.9931","1.0007","0.9886","3.65M","0.33%"
"Dec 07, 2018","0.9931","0.9840","0.9978","0.9840","8.53M","1.23%"
"Dec 06, 2018","0.9810","0.9826","0.9911","0.9805","2.87M","-0.23%"
"Dec 05, 2018","0.9833","0.9879","1.0036","0.9809","2.25M","-0.47%"
"Dec 04, 2018","0.9879","0.9894","0.9956","0.9868","3.09M","-0.14%"
"Dec 03, 2018","0.9894","0.9842","0.9927","0.9835","1.82M","0.52%"
"Dec 02, 2018","0.9842","0.9881","0.9990","0.9833","1.24M","-0.39%"
"Dec 01, 2018","0.9881","0.9857","0.9923","0.9838","2.32M","0.24%"
"Nov 30, 2018","0.9857","0.9889","0.9930","0.9812","2.86M","-0.32%"
"Nov 29, 2018","0.9889","0.9891","0.9930","0.9842","5.71M","-0.02%"
"Nov 28, 2018","0.9891","0.9779","0.9903","0.9736","13.36M","1.82%"
"Nov 27, 2018","0.9714","0.9656","0.9764","0.9656","5.78M","0.60%"
"Nov 26, 2018","0.9656","0.9626","0.9733","0.9547","6.58M","0.31%"
"Nov 25, 2018","0.9626","0.9637","0.9734","0.9472","9.56M","-0.11%"
"Nov 24, 2018","0.9637","0.9709","0.9909","0.9589","8.16M","-0.75%"
"Nov 23, 2018","0.9709","0.9779","0.9816","0.9692","5.58M","-0.71%"
"Nov 22, 2018","0.9779","0.9833","0.9840","0.9712","5.24M","0.40%"
"Nov 21, 2018","0.9740","0.9571","0.9778","0.9571","8.20M","1.76%"
"Nov 20, 2018","0.9571","0.9637","0.9748","0.9319","18.03M","-0.68%"
"Nov 19, 2018","0.9637","0.9982","0.9982","0.9636","15.65M","-2.14%"
"Nov 18, 2018","0.9847","0.9798","0.9931","0.9798","7.60M","0.50%"
"Nov 17, 2018","0.9798","0.9765","0.9952","0.9765","9.61M","0.34%"
"Nov 16, 2018","0.9765","0.9706","0.9846","0.9706","10.08M","0.61%"
"Nov 15, 2018","0.9706","0.9506","0.9799","0.9506","14.56M","2.10%"
"Nov 14, 2018","0.9506","0.9693","0.9806","0.9420","12.70M","-1.93%"
"Nov 13, 2018","0.9693","0.9803","0.9882","0.9693","4.34M","-1.13%"
"Nov 12, 2018","0.9804","0.9865","0.9930","0.9803","5.07M","-0.63%"
"Nov 11, 2018","0.9865","1.0008","1.0016","0.9853","3.16M","-0.14%"
"Nov 10, 2018","0.9879","0.9871","0.9919","0.9862","2.69M","0.08%"
"Nov 09, 2018","0.9871","0.9898","0.9930","0.9866","3.70M","-0.27%"
"Nov 08, 2018","0.9898","0.9910","0.9922","0.9869","5.02M","-0.13%"
"Nov 07, 2018","0.9910","0.9930","0.9931","0.9858","5.73M","-0.03%"
"Nov 06, 2018","0.9913","0.9956","0.9989","0.9877","2.62M","-0.01%"
"Nov 05, 2018","0.9915","0.9916","0.9946","0.9887","1.94M","-0.01%"
"Nov 04, 2018","0.9916","0.9942","0.9964","0.9900","1.65M","-0.26%"
"Nov 03, 2018","0.9942","0.9895","0.9963","0.9895","1.22M","0.47%"
"Nov 02, 2018","0.9895","0.9938","0.9953","0.9885","3.10M","-0.17%"
"Nov 01, 2018","0.9912","0.9920","0.9955","0.9885","3.37M","-0.08%"
"Oct 31, 2018","0.9920","0.9962","0.9964","0.9892","9.65M","-0.14%"
"Oct 30, 2018","0.9934","0.9931","0.9962","0.9868","16.38M","0.65%"
"Oct 29, 2018","0.9870","1.0120","1.0120","0.9828","9.94M","-0.37%"
"Oct 28, 2018","0.9907","1.0084","1.0084","0.9881","18.34M","0.06%"
"Oct 27, 2018","0.9901","0.9794","1.0083","0.9794","10.33M","1.10%"
"Oct 26, 2018","0.9794","0.9778","1.0075","0.9766","3.31M","0.16%"
