"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","0.19294","0.19317","0.19403","0.19000","1.33B","-0.13%"
"Dec 30, 2019","0.19319","0.19674","0.19771","0.19216","1.56B","-1.80%"
"Dec 29, 2019","0.19674","0.19310","0.19827","0.19107","1.47B","1.89%"
"Dec 28, 2019","0.19309","0.18994","0.19478","0.18972","1.50B","1.65%"
"Dec 27, 2019","0.18995","0.18924","0.18997","0.18539","1.43B","0.38%"
"Dec 26, 2019","0.18924","0.18863","0.19379","0.18736","1.52B","0.32%"
"Dec 25, 2019","0.18863","0.19076","0.19127","0.18653","1.37B","-1.13%"
"Dec 24, 2019","0.19078","0.18978","0.19374","0.18774","1.69B","0.53%"
"Dec 23, 2019","0.18978","0.19642","0.19820","0.18853","1.80B","-3.38%"
"Dec 22, 2019","0.19642","0.19146","0.19655","0.19046","1.41B","2.59%"
"Dec 21, 2019","0.19146","0.19512","0.19595","0.19028","1.46B","-1.88%"
"Dec 20, 2019","0.19512","0.18785","0.19771","0.18406","2.28B","3.87%"
"Dec 19, 2019","0.18786","0.19575","0.19692","0.18474","1.94B","-4.03%"
"Dec 18, 2019","0.19574","0.18302","0.19905","0.17553","3.11B","6.96%"
"Dec 17, 2019","0.18301","0.20564","0.20570","0.17898","3.12B","-11.00%"
"Dec 16, 2019","0.20564","0.21745","0.21763","0.20365","1.65B","-5.44%"
"Dec 15, 2019","0.21746","0.21630","0.21914","0.21505","1.01B","0.53%"
"Dec 14, 2019","0.21631","0.22056","0.22071","0.21512","1.04B","-1.93%"
"Dec 13, 2019","0.22057","0.21851","0.22061","0.21572","1.32B","0.94%"
"Dec 12, 2019","0.21851","0.22096","0.22254","0.21734","1.38B","-1.10%"
"Dec 11, 2019","0.22095","0.22262","0.22357","0.22016","1.09B","-0.75%"
"Dec 10, 2019","0.22261","0.22451","0.22525","0.21909","1.31B","-0.85%"
"Dec 09, 2019","0.22451","0.22921","0.23034","0.22143","1.38B","-2.05%"
"Dec 08, 2019","0.22921","0.22708","0.23180","0.22386","1.24B","0.94%"
"Dec 07, 2019","0.22708","0.22555","0.22793","0.22321","1.21B","0.68%"
"Dec 06, 2019","0.22555","0.22113","0.22616","0.21902","1.50B","1.99%"
"Dec 05, 2019","0.22115","0.21410","0.22588","0.21212","2.19B","3.30%"
"Dec 04, 2019","0.21409","0.21947","0.22372","0.20992","1.85B","-2.44%"
"Dec 03, 2019","0.21946","0.21914","0.22169","0.21790","1.20B","0.14%"
"Dec 02, 2019","0.21915","0.22483","0.22611","0.21756","1.39B","-2.52%"
"Dec 01, 2019","0.22483","0.22548","0.22556","0.21876","1.25B","-0.29%"
"Nov 30, 2019","0.22548","0.23006","0.23186","0.22380","1.12B","-1.98%"
"Nov 29, 2019","0.23004","0.22313","0.23225","0.22270","1.44B","3.11%"
"Nov 28, 2019","0.22311","0.22404","0.22914","0.22269","1.32B","-0.42%"
"Nov 27, 2019","0.22404","0.22074","0.22933","0.21290","1.86B","1.51%"
"Nov 26, 2019","0.22072","0.21786","0.22186","0.21379","1.52B","1.32%"
"Nov 25, 2019","0.21785","0.22022","0.22435","0.20268","2.86B","-1.08%"
"Nov 24, 2019","0.22023","0.23401","0.23455","0.21928","1.40B","-5.88%"
"Nov 23, 2019","0.23400","0.23021","0.23537","0.22570","1.54B","1.65%"
"Nov 22, 2019","0.23020","0.24337","0.24569","0.22215","2.42B","-5.41%"
