Date	Price	Open	High	Low	Vol.	Change %
31-Dec-20	0.21925	0.2113	0.2285	0.20543	2.81B	3.76%
30-Dec-20	0.21131	0.22152	0.23525	0.19217	4.72B	-4.61%
29-Dec-20	0.22151	0.24923	0.24996	0.17428	7.62B	-11.14%
28-Dec-20	0.24929	0.28394	0.3082	0.23734	2.76B	-12.19%
27-Dec-20	0.28388	0.29463	0.30993	0.26792	2.81B	-3.64%
26-Dec-20	0.29461	0.31803	0.32559	0.28462	3.00B	-7.42%
25-Dec-20	0.3182	0.33781	0.38265	0.28206	6.00B	-5.81%
24-Dec-20	0.33782	0.2604	0.37492	0.24245	6.51B	29.72%
23-Dec-20	0.26041	0.44685	0.44785	0.21523	8.38B	-41.78%
22-Dec-20	0.44732	0.51439	0.5215	0.40335	2.96B	-13.05%
21-Dec-20	0.51448	0.55604	0.56909	0.50019	1.57B	-7.53%
20-Dec-20	0.55634	0.57665	0.58642	0.534	1.23B	-3.51%
19-Dec-20	0.57659	0.58344	0.60299	0.56653	1.50B	-1.18%
18-Dec-20	0.58348	0.57794	0.61238	0.5516	1.96B	0.97%
17-Dec-20	0.5779	0.57087	0.65864	0.54263	3.45B	1.17%
16-Dec-20	0.5712	0.46777	0.57337	0.43985	2.50B	22.10%
15-Dec-20	0.46783	0.49735	0.50706	0.46489	1.26B	-5.96%
14-Dec-20	0.49747	0.51392	0.5181	0.48986	869.69M	-3.25%
13-Dec-20	0.51416	0.50589	0.52755	0.48652	1.28B	1.63%
12-Dec-20	0.50589	0.54666	0.54739	0.48577	2.15B	-7.66%
11-Dec-20	0.54787	0.57185	0.58519	0.52768	1.69B	-4.11%
10-Dec-20	0.57136	0.58285	0.5879	0.55403	1.15B	-1.97%
9-Dec-20	0.58285	0.55916	0.60371	0.50412	1.82B	4.27%
8-Dec-20	0.55898	0.60813	0.61018	0.55189	1.18B	-8.08%
7-Dec-20	0.60808	0.62158	0.62318	0.59144	898.96M	-2.13%
6-Dec-20	0.62135	0.58546	0.62717	0.58032	1.29B	6.16%
5-Dec-20	0.58532	0.55359	0.59567	0.54901	987.02M	5.75%
4-Dec-20	0.55351	0.63027	0.63388	0.544	1.32B	-12.19%
3-Dec-20	0.63032	0.6305	0.64141	0.61515	897.53M	-0.05%
2-Dec-20	0.63065	0.61132	0.63644	0.59552	1.20B	3.24%
1-Dec-20	0.61084	0.66388	0.67952	0.58734	2.04B	-7.99%
30-Nov-20	0.66386	0.60533	0.67687	0.59974	2.27B	9.67%
29-Nov-20	0.60534	0.62578	0.63606	0.58501	1.77B	-3.30%
28-Nov-20	0.62597	0.56135	0.64838	0.54032	2.50B	11.54%
27-Nov-20	0.5612	0.53659	0.58549	0.50451	2.48B	4.72%
26-Nov-20	0.53593	0.63206	0.65095	0.4593	4.59B	-15.23%
25-Nov-20	0.63224	0.6923	0.72288	0.58702	3.20B	-8.67%
24-Nov-20	0.69224	0.61546	0.77883	0.57752	5.30B	12.54%
23-Nov-20	0.6151	0.44605	0.6189	0.43287	3.49B	37.90%
22-Nov-20	0.44604	0.46288	0.49544	0.41077	3.84B	-3.75%
21-Nov-20	0.46343	0.3299	0.46804	0.32951	3.31B	40.45%
20-Nov-20	0.32995	0.30358	0.3305	0.29717	1.45B	8.63%
19-Nov-20	0.30374	0.29319	0.30705	0.28399	1.18B	3.57%
18-Nov-20	0.29326	0.30226	0.30782	0.28225	1.35B	-2.98%
17-Nov-20	0.30226	0.28792	0.30487	0.28731	1.47B	5.03%
16-Nov-20	0.28778	0.26949	0.28985	0.26748	1.07B	6.82%
15-Nov-20	0.26941	0.26813	0.27666	0.26412	885.34M	0.50%
14-Nov-20	0.26808	0.26557	0.2771	0.26154	1.05B	0.98%
13-Nov-20	0.26548	0.25489	0.2656	0.25374	942.55M	4.16%
12-Nov-20	0.25486	0.2558	0.25814	0.25237	738.89M	-0.33%
11-Nov-20	0.25569	0.25376	0.2599	0.25228	834.93M	0.77%
10-Nov-20	0.25374	0.25054	0.26464	0.24807	1.07B	1.32%
9-Nov-20	0.25043	0.25366	0.25613	0.24562	1.00B	-1.33%
8-Nov-20	0.2538	0.24898	0.25693	0.24737	843.46M	1.94%
7-Nov-20	0.24897	0.25861	0.26725	0.24488	976.55M	-3.68%
6-Nov-20	0.25848	0.24567	0.26135	0.24512	1.07B	5.29%
5-Nov-20	0.2455	0.23743	0.24722	0.23711	978.75M	3.37%
4-Nov-20	0.2375	0.23945	0.24039	0.23263	1.02B	-0.85%
3-Nov-20	0.23954	0.23528	0.24405	0.22803	1.03B	1.82%
2-Nov-20	0.23526	0.2399	0.24455	0.2329	1.08B	-1.93%
1-Nov-20	0.23989	0.23971	0.24132	0.23656	861.22M	0.07%
31-Oct-20	0.23972	0.23914	0.24347	0.23745	872.34M	0.31%
30-Oct-20	0.23897	0.24248	0.24389	0.23138	972.35M	-1.45%
29-Oct-20	0.24247	0.24552	0.24702	0.23962	982.83M	-1.23%
28-Oct-20	0.24549	0.25268	0.25667	0.24431	990.70M	-2.83%
27-Oct-20	0.25265	0.24815	0.25396	0.24765	897.91M	1.80%
26-Oct-20	0.24818	0.25311	0.25904	0.24363	1.00B	-1.98%
25-Oct-20	0.25319	0.25611	0.25708	0.25122	804.28M	-1.14%
24-Oct-20	0.25611	0.25471	0.2576	0.25256	726.90M	0.55%
23-Oct-20	0.25471	0.25701	0.25917	0.25022	765.49M	-0.96%
22-Oct-20	0.25718	0.25105	0.26354	0.25083	1.10B	2.45%
21-Oct-20	0.25102	0.24324	0.25555	0.24261	1.12B	3.20%
20-Oct-20	0.24324	0.24564	0.25021	0.24155	1.04B	-0.95%
19-Oct-20	0.24558	0.24216	0.24942	0.24013	1.08B	1.34%
